param_src,interv,param_type,param,param_path,lower,upper,default,sd
apsim,nt,soil,fbiom,.//SoilOrganicMatter/FBiom/double,0.01,0.06,0.02,0.009
apsim,nt,soil,finert,.//SoilOrganicMatter/FInert/double,0.2,0.9,0.4,0.2
apsim,nt,soil,oc,.//SoilOrganicMatter/OC/double,0,7.6,1,0.6
sim,nt,soil,ef_biom,.//ef_biom,0.1,1,0.4,0.2
sim,nt,soil,ef_fom,.//ef_fom,0.1,1,0.4,0.2
sim,nt,soil,ef_hum,.//ef_hum,0.1,1,0.4,0.2
sim,nt,soil,ef_res,.//ef_res,0.1,1,0.4,0.4
sim,nt,soil,fr_fom_biom,.//fr_fom_biom,0.1,0.9,0.9,0.4
sim,nt,soil,fr_res_biom,.//fr_res_biom,0.1,0.9,0.9,0.4
sim,nt,soil,fr_biom_biom,.//fr_biom_biom,0.1,0.9,0.6,0.4
apsim,nt,tillage,f_incorp,tillage,0,100,50,20
apsim,rt,soil,fbiom,.//SoilOrganicMatter/FBiom/double,0.01,0.06,0.02,0.009
apsim,rt,soil,finert,.//SoilOrganicMatter/FInert/double,0.2,0.9,0.4,0.2
apsim,rt,soil,oc,.//SoilOrganicMatter/OC/double,0,7.6,1,0.6
sim,rt,soil,ef_biom,.//ef_biom,0.1,1,0.4,0.2
sim,rt,soil,ef_fom,.//ef_fom,0.1,1,0.4,0.2
sim,rt,soil,ef_hum,.//ef_hum,0.1,1,0.4,0.2
sim,rt,soil,ef_res,.//ef_res,0.1,1,0.4,0.4
sim,rt,soil,fr_fom_biom,.//fr_fom_biom,0.1,0.9,0.9,0.4
sim,rt,soil,fr_res_biom,.//fr_res_biom,0.1,0.9,0.9,0.4
sim,rt,soil,fr_biom_biom,.//fr_biom_biom,0.1,0.9,0.6,0.4
apsim,rt,tillage,f_incorp,tillage,0,100,50,20
apsim,ct,soil,fbiom,.//SoilOrganicMatter/FBiom/double,0.01,0.06,0.02,0.009
apsim,ct,soil,finert,.//SoilOrganicMatter/FInert/double,0.2,0.9,0.4,0.2
apsim,ct,soil,oc,.//SoilOrganicMatter/OC/double,0,7.6,1,0.6
sim,ct,soil,ef_biom,.//ef_biom,0.1,1,0.4,0.2
sim,ct,soil,ef_fom,.//ef_fom,0.1,1,0.4,0.2
sim,ct,soil,ef_hum,.//ef_hum,0.1,1,0.4,0.2
sim,ct,soil,ef_res,.//ef_res,0.1,1,0.4,0.4
sim,ct,soil,fr_fom_biom,.//fr_fom_biom,0.1,0.9,0.9,0.4
sim,ct,soil,fr_res_biom,.//fr_res_biom,0.1,0.9,0.9,0.4
sim,ct,soil,fr_biom_biom,.//fr_biom_biom,0.1,0.9,0.6,0.4
apsim,ct,tillage,f_incorp,tillage,0,100,50,20
estimate,all,stat,def_sd,stat,0,20000,0,100
estimate,all,stat,sigma2_site,cov_mat,0.02,0.1,0.06,0.1
estimate,all,stat,sigma2_siteyr,cov_mat,0.05,0.2,0.1,0.1
estimate,all,stat,sigma2_resid,cov_mat,0.04,0.08,0.06,0.02
estimate,all,stat,nu,cov_mat,0.005,0.01,0.008,0.006
